order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
2912736,63743,prior,9,6,20,19.0
94365,148482,prior,56,6,12,2.0
1367779,156786,prior,20,3,13,1.0
2783532,182511,prior,8,3,20,7.0
3056140,60004,prior,2,0,7,5.0
1117764,178452,prior,5,3,21,23.0
3213653,152283,prior,9,1,14,12.0
1268282,91637,prior,18,6,10,4.0
547403,195017,prior,6,3,12,5.0
2910304,147978,prior,2,1,12,30.0
243375,85296,prior,26,2,21,6.0
450398,92498,prior,9,0,20,30.0
1845058,94419,prior,16,6,16,4.0
2383742,16582,prior,38,2,17,4.0
3140874,113696,prior,3,1,13,19.0
1502568,69505,prior,8,2,12,20.0
392956,149716,prior,15,2,14,30.0
2841414,155799,prior,9,1,8,17.0
2913277,153868,prior,8,2,21,1.0
3146849,174150,prior,8,2,8,8.0
2529901,79756,prior,4,3,17,16.0
919529,180765,prior,15,0,23,4.0
1574348,76184,prior,16,4,19,4.0
2199653,23043,train,5,6,11,30.0
756978,103391,prior,12,4,15,3.0
1970719,90174,prior,2,4,21,30.0
3107452,48524,prior,18,6,13,6.0
1272335,28372,prior,3,1,18,30.0
1945151,111353,prior,3,3,18,22.0
1241576,109491,prior,24,1,12,22.0
2646242,27590,prior,25,2,17,9.0
2773117,155713,prior,4,5,12,29.0
623008,182069,prior,3,0,12,7.0
3055282,101749,prior,3,3,12,30.0
1207074,205594,prior,1,6,10,
2239407,39155,prior,19,3,12,0.0
1592994,88640,prior,5,2,9,5.0
1403759,42971,prior,95,1,11,5.0
1082822,21341,prior,10,5,9,8.0
2910129,71131,prior,51,6,15,7.0
2788960,18132,prior,21,3,15,9.0
3361552,98783,prior,7,1,10,8.0
529450,75403,prior,8,3,15,2.0
155473,167780,train,10,4,6,15.0
3133193,141633,prior,2,6,7,30.0
3216639,89929,prior,4,2,10,11.0
3405820,191460,prior,1,6,12,
2791432,16538,prior,64,0,9,1.0
543606,54811,prior,12,5,17,5.0
1200087,134557,prior,2,0,13,14.0
699271,123282,prior,13,3,10,10.0
2953407,85700,prior,24,2,12,11.0
1105315,45938,prior,71,1,21,1.0
2076319,199131,prior,18,6,10,6.0
860378,200126,prior,1,2,15,
1589873,76717,prior,10,5,8,30.0
2458084,20127,prior,8,4,11,16.0
3080015,157643,prior,20,6,19,14.0
1365044,167533,prior,25,6,10,16.0
2435315,114413,prior,39,4,6,9.0
2877913,54486,prior,44,3,8,5.0
1418688,152210,prior,10,0,13,18.0
1151976,59604,prior,23,0,15,2.0
670429,59221,prior,30,3,20,7.0
2953791,18035,prior,19,5,14,6.0
766647,133679,prior,26,0,11,5.0
2325716,163529,prior,9,4,17,10.0
1728067,90925,prior,4,4,17,30.0
2844415,88321,prior,3,2,18,30.0
1458593,114694,prior,3,4,20,5.0
2175443,37613,prior,51,5,14,2.0
2807867,138764,prior,11,1,18,30.0
1271476,170767,prior,15,2,6,7.0
1909036,161561,prior,14,0,14,16.0
2828970,8187,prior,21,1,17,2.0
2656822,156522,prior,47,1,7,5.0
3007635,158755,prior,19,0,15,22.0
3076418,82993,prior,2,0,7,27.0
990750,123474,prior,45,4,8,4.0
1841134,102437,train,9,4,13,4.0
215616,158549,prior,5,5,14,3.0
1020976,124764,prior,8,4,14,11.0
1291926,562,prior,7,5,14,2.0
1162584,179849,prior,5,5,12,9.0
3342238,145345,prior,7,0,23,9.0
1035701,57829,prior,13,2,16,17.0
2240890,27809,prior,21,6,20,5.0
2879648,14513,prior,10,2,13,30.0
3020937,114773,prior,3,3,22,30.0
1258966,166530,prior,3,0,13,19.0
2917511,67710,prior,9,2,10,8.0
1750664,143366,prior,4,0,11,10.0
755177,70413,prior,5,5,16,30.0
2941597,2787,prior,3,1,12,30.0
1585383,21001,prior,1,2,8,
286929,120750,prior,1,2,21,
3160170,19776,prior,8,6,15,4.0
3123864,201670,prior,8,1,10,7.0
211912,1297,prior,4,3,16,7.0
785236,192144,prior,29,6,9,5.0
1890417,205820,prior,11,2,18,7.0
1934946,94196,prior,2,2,14,16.0
129475,24102,prior,3,4,10,5.0
2900473,7042,prior,7,1,13,13.0
2775855,127050,prior,6,1,13,13.0
89084,133453,prior,2,0,16,30.0
1593349,23959,prior,14,1,8,7.0
1144036,60117,prior,7,3,12,30.0
1801543,85201,prior,6,1,19,30.0
820827,144908,prior,20,2,7,7.0
1789115,170517,prior,11,2,10,9.0
3363651,204627,prior,10,2,6,10.0
2126274,189531,prior,61,3,12,10.0
444677,45795,prior,17,4,12,1.0
2576470,72762,prior,30,6,11,4.0
845318,7507,prior,6,5,14,2.0
2586050,166652,prior,48,5,15,5.0
613005,132896,prior,3,1,10,30.0
3240975,130441,prior,8,1,13,8.0
1425749,37841,prior,26,3,16,6.0
923414,115861,prior,3,6,13,30.0
2500553,19314,train,4,1,12,4.0
592614,127568,prior,3,4,10,7.0
2899802,52155,prior,7,3,20,8.0
1362289,79288,prior,4,2,17,16.0
2294736,136664,prior,5,5,12,4.0
1747051,12470,prior,56,1,12,10.0
2033281,202323,prior,12,4,18,9.0
832042,137660,prior,8,4,18,19.0
2240249,16854,prior,2,1,13,8.0
1807521,90688,prior,12,6,8,30.0
2777921,171139,prior,3,0,14,15.0
493148,151072,prior,18,1,18,7.0
1510098,108554,prior,7,2,15,25.0
2523644,165755,prior,1,5,11,
126027,173537,prior,1,4,15,
3387593,58728,prior,10,1,13,4.0
435828,189942,prior,15,3,17,29.0
1561702,172449,prior,8,3,14,2.0
2865731,147169,prior,11,3,11,22.0
776282,42307,prior,20,6,12,5.0
517720,163966,prior,6,0,11,30.0
1595122,196490,prior,20,6,22,7.0
329074,204701,prior,22,6,23,6.0
196773,108377,prior,1,1,19,
1167643,164421,prior,14,4,19,5.0
2382573,144806,train,16,1,12,11.0
34676,182372,prior,1,3,6,
57783,61437,prior,2,0,12,8.0
393450,108738,prior,1,1,14,
1477390,34108,prior,2,6,11,29.0
880078,12909,prior,8,2,8,7.0
522105,47809,prior,90,5,10,1.0
3084570,60875,prior,1,3,14,
2057418,159836,prior,3,3,16,1.0
635593,111900,train,13,6,10,8.0
803511,140570,prior,3,4,13,30.0
2639474,185902,prior,10,5,7,19.0
3415970,2468,prior,42,1,18,3.0
370398,48168,prior,3,6,16,13.0
2230745,113353,test,37,4,12,15.0
791405,12641,prior,68,6,16,12.0
891498,101166,prior,8,1,17,30.0
2284863,134433,prior,14,5,18,4.0
1917203,8650,prior,27,0,20,5.0
1830168,202798,prior,1,3,10,
2293010,154266,prior,3,6,19,25.0
1294232,122848,prior,79,3,18,0.0
1327516,158571,prior,34,6,20,2.0
467711,28408,prior,25,3,9,2.0
3206990,25443,prior,2,3,10,6.0
1513592,96357,prior,6,0,9,30.0
1418720,167762,prior,4,4,11,5.0
251635,120955,prior,17,1,12,5.0
3365851,168272,prior,8,1,14,12.0
1849816,163588,prior,2,1,16,16.0
793928,63519,prior,17,4,13,2.0
974336,91759,prior,21,4,12,28.0
360608,195610,prior,9,0,8,7.0
1899147,2561,prior,10,6,19,7.0
650041,76911,prior,4,0,8,28.0
3261619,36134,prior,4,1,8,11.0
2194797,142646,prior,8,2,12,9.0
848072,80515,train,22,1,8,7.0
1080295,138681,prior,6,0,11,12.0
2275307,89424,train,14,6,15,30.0
31296,31193,prior,10,3,15,30.0
1720530,73421,prior,52,6,9,3.0
128718,7084,test,31,5,7,20.0
2951595,204224,prior,16,1,13,8.0
706425,143714,prior,72,0,13,2.0
5515,22447,prior,7,4,11,30.0
2885563,14798,prior,55,5,12,3.0
1652536,138203,prior,42,5,19,4.0
2878097,104269,prior,6,2,11,29.0
121098,27919,prior,8,4,12,8.0
3315725,55645,prior,16,3,11,11.0
2293314,151356,prior,22,2,12,5.0
2642960,14350,prior,10,6,18,10.0
1267438,10241,prior,59,5,9,4.0
1704126,180515,prior,16,5,11,3.0
1433759,56383,prior,8,0,12,7.0
2912832,53984,prior,2,0,13,30.0
2486209,167526,prior,14,6,15,12.0
253295,74140,prior,14,4,12,11.0
2142462,181725,prior,7,3,17,30.0
446181,11605,prior,15,0,15,2.0
3035451,108363,prior,1,2,21,
47655,151598,prior,50,3,14,1.0
1943021,82475,prior,28,2,9,7.0
1990356,59836,train,11,3,13,30.0
606136,17189,prior,1,3,9,
248132,148081,prior,5,2,10,13.0
1973231,21553,prior,11,6,21,4.0
474797,2876,prior,11,3,10,15.0
491406,153649,prior,10,2,8,29.0
511470,77243,prior,26,2,8,30.0
1213299,204861,prior,12,0,15,26.0
2452489,118164,prior,25,5,16,25.0
1933614,145255,prior,24,1,21,13.0
1764013,122746,prior,3,0,9,9.0
1868094,190919,prior,20,0,0,19.0
955216,184338,prior,2,4,12,14.0
420090,37376,prior,13,6,11,13.0
2588237,192072,prior,1,3,14,
3194600,189751,prior,5,1,16,6.0
1253902,196172,prior,2,3,12,15.0
2124373,63129,prior,10,3,16,8.0
1037474,99663,prior,6,1,15,8.0
20336,117167,prior,1,3,19,
2164722,89379,prior,11,2,9,5.0
2619630,95480,prior,22,2,11,16.0
729632,143878,prior,3,4,9,3.0
465673,145904,prior,6,4,22,11.0
1268716,63118,prior,16,0,12,12.0
2729531,203270,prior,5,5,13,22.0
2395651,105739,prior,46,4,13,3.0
619975,89618,prior,4,2,15,14.0
1493423,120317,train,6,0,9,9.0
3189462,65470,prior,71,0,16,6.0
2289919,65943,prior,4,2,16,30.0
2774503,44058,prior,13,5,15,2.0
193343,111420,prior,18,1,11,7.0
1956609,72815,prior,10,4,22,12.0
2734503,41309,prior,3,3,12,15.0
3169326,112800,prior,6,6,23,8.0
1481815,126715,prior,50,2,15,4.0
188375,66188,prior,3,4,17,9.0
1155049,183364,prior,13,0,12,6.0
1231135,110946,prior,15,6,10,3.0
2863240,85256,prior,1,3,11,
1297803,53526,prior,39,6,10,5.0
283253,96897,prior,4,0,22,30.0
2629497,145917,prior,6,0,20,2.0
1060382,13257,prior,33,3,22,4.0
88627,201184,prior,5,2,15,9.0
2518664,1018,prior,33,2,14,2.0
1546704,204833,prior,5,6,10,30.0
3150265,169246,prior,23,2,21,3.0
2072210,146597,prior,6,4,12,7.0
3301850,29099,prior,11,0,11,10.0
792079,111195,prior,24,0,13,12.0
1743030,5665,prior,41,1,14,3.0
1900552,128542,prior,43,5,15,4.0
1157883,152216,prior,45,0,17,11.0
1671147,184327,prior,13,4,7,12.0
858952,152339,prior,26,0,19,6.0
2888237,5622,prior,15,4,18,9.0
675765,22114,prior,5,1,13,14.0
1498640,130308,prior,13,1,20,12.0
3089500,42058,prior,7,6,13,14.0
117921,49994,prior,11,1,18,30.0
2586091,131298,prior,1,1,19,
2041166,42461,test,9,1,7,30.0
3048385,4323,prior,28,3,21,8.0
245079,133316,prior,3,1,8,4.0
2652234,95854,prior,4,2,0,9.0
724726,103562,prior,10,4,12,18.0
3016918,45236,prior,18,0,14,4.0
2693531,142319,prior,13,5,10,3.0
3132677,42081,prior,3,0,11,2.0
1432138,43768,prior,25,5,8,3.0
2404216,65959,prior,14,1,17,4.0
1816616,79567,prior,4,4,6,14.0
198496,82639,prior,8,4,14,8.0
2219254,163392,prior,14,3,19,5.0
1054805,124124,prior,15,6,22,0.0
1749204,185342,prior,14,6,9,8.0
3248373,111637,prior,4,2,15,30.0
1413251,67334,prior,32,4,14,13.0
1751429,67703,prior,15,3,9,16.0
163981,93782,train,7,3,11,30.0
3165829,30337,prior,29,0,14,6.0
1373985,182,prior,12,6,13,7.0
2736093,144639,prior,5,3,12,0.0
286516,20066,prior,16,1,14,14.0
1475558,65128,test,7,3,17,30.0
1623701,189442,prior,10,6,13,22.0
2234174,184561,prior,63,6,15,1.0
522254,99614,prior,23,6,18,5.0
2712824,90322,prior,58,6,7,4.0
3378374,144857,prior,4,6,16,14.0
334442,132704,prior,3,0,16,7.0
134168,46266,prior,5,2,15,1.0
649499,162478,prior,39,3,15,7.0
26645,181086,prior,13,6,15,30.0
1781692,101161,prior,5,6,15,1.0
58561,148577,prior,3,3,19,15.0
2859307,72784,prior,5,4,16,17.0
249998,92684,prior,19,4,2,11.0
3198822,53994,prior,1,2,13,
676984,53167,prior,19,4,13,30.0
1801332,47427,prior,13,1,11,29.0
2079648,154480,prior,24,6,18,5.0
2051485,19060,prior,16,0,12,7.0
275547,183959,prior,17,5,19,3.0
192337,20965,prior,25,1,11,3.0
3240249,791,prior,12,3,13,1.0
2148838,8158,prior,21,2,15,4.0
2812149,156568,prior,11,0,20,9.0
2458789,140018,prior,7,1,14,5.0
502946,149905,prior,9,0,17,17.0
311964,137706,prior,8,1,18,3.0
1454734,199684,prior,27,0,13,12.0
1824404,175603,prior,25,0,16,4.0
1471952,16645,prior,77,4,16,2.0
2156538,20151,prior,18,5,13,5.0
1380694,203305,prior,32,3,15,3.0
2825314,111275,test,6,0,19,30.0
322966,24389,prior,95,1,15,7.0
3267258,69793,prior,46,0,19,1.0
1077999,36376,prior,99,4,21,1.0
3187003,44431,prior,31,4,7,10.0
1988113,102014,train,6,2,22,30.0
936166,9981,prior,57,5,10,7.0
2868938,85125,prior,54,4,22,4.0
2033761,44871,prior,25,1,8,7.0
1300678,159717,prior,21,0,9,6.0
2169868,127852,prior,34,4,11,7.0
1969396,162086,prior,16,5,9,4.0
2161159,127702,train,9,0,15,14.0
1218926,198496,prior,71,1,15,6.0
122545,33566,prior,2,1,14,29.0
1845783,39600,prior,8,6,13,5.0
2679715,78290,prior,1,4,18,
445150,62255,prior,8,6,20,30.0
481923,81766,prior,1,2,18,
1036057,106637,prior,4,5,15,8.0
3354996,11804,prior,11,4,14,9.0
2664563,26879,prior,7,4,21,7.0
1561128,133500,prior,2,6,9,7.0
687310,127938,prior,1,5,19,
1250196,67959,test,12,0,13,7.0
1785615,14734,prior,33,4,10,30.0
1774838,38897,train,13,1,15,30.0
3153158,86619,prior,31,1,8,4.0
2847122,81704,prior,90,3,9,6.0
475612,86547,prior,15,0,14,7.0
3274375,50993,prior,2,2,17,17.0
197212,43936,prior,16,5,11,12.0
581628,134847,prior,19,2,0,5.0
3090158,5396,prior,2,6,15,6.0
1339377,105288,prior,10,5,17,30.0
1821033,947,prior,29,6,18,6.0
3267837,78965,prior,1,0,17,
20023,106614,prior,7,1,19,4.0
2558729,17384,prior,7,2,18,2.0
1572592,89304,prior,58,0,10,1.0
2964067,151592,prior,4,0,15,30.0
2305006,180470,prior,39,1,16,2.0
2913689,174428,prior,3,2,14,6.0
3351579,51198,prior,13,0,12,12.0
2546429,154266,prior,20,0,13,14.0
398218,133419,prior,13,3,14,30.0
713664,172736,prior,48,5,13,0.0
1565825,180181,prior,34,3,17,0.0
1470321,151317,prior,28,6,18,10.0
1057860,184440,prior,44,0,6,9.0
195277,186480,prior,28,4,7,9.0
3049186,164532,prior,1,5,14,
1612947,51955,prior,2,1,15,8.0
2822606,123691,prior,10,6,21,4.0
2984283,186291,prior,69,2,15,10.0
772001,91450,prior,3,5,16,10.0
1456076,96530,prior,13,4,13,3.0
2084197,75540,prior,34,6,16,2.0
1606127,85935,prior,21,0,18,4.0
509547,75794,prior,12,3,9,11.0
360448,144845,prior,8,4,22,0.0
3396449,16615,prior,2,4,17,6.0
1309019,143108,prior,61,3,10,2.0
2159330,82220,prior,7,0,15,15.0
32158,148993,prior,52,0,14,2.0
2998991,11115,prior,4,3,21,3.0
372277,146600,prior,76,0,12,2.0
1690964,149705,prior,1,2,11,
171950,25992,test,14,4,22,30.0
2555364,68253,prior,18,5,14,11.0
683148,46125,prior,2,0,11,29.0
2001522,130909,prior,2,0,8,14.0
1558601,86610,prior,8,6,10,17.0
1059734,158150,prior,4,6,10,30.0
2898211,186114,prior,4,0,12,16.0
1568976,52118,prior,25,6,16,3.0
386564,187362,prior,29,0,11,3.0
2344530,13731,prior,13,0,11,13.0
1963320,166940,prior,15,4,11,5.0
3398616,61105,prior,1,0,17,
2939209,93647,prior,27,0,22,6.0
381275,95867,prior,10,4,21,6.0
830799,202305,prior,4,3,10,30.0
1946230,113759,prior,3,5,14,6.0
1643660,191429,test,7,2,10,19.0
48394,154560,prior,3,2,10,9.0
2653491,173,prior,16,5,11,4.0
715622,72707,prior,1,0,13,
1308411,157831,prior,5,3,13,22.0
1596235,80214,prior,25,2,1,30.0
2631733,113478,prior,48,4,10,4.0
3411194,80292,prior,19,6,18,5.0
3166031,199244,prior,20,6,14,6.0
2008829,144132,prior,4,2,19,8.0
1473438,81692,prior,38,6,13,4.0
1380139,51121,prior,23,4,19,5.0
2639163,12723,prior,3,4,17,30.0
1185259,55542,prior,2,2,9,9.0
2888267,181907,prior,10,4,14,7.0
3381602,141593,prior,10,4,15,30.0
1049803,183218,prior,1,0,16,
1363897,7755,prior,6,2,8,9.0
1887861,48528,prior,26,6,19,6.0
1820218,139545,prior,16,3,16,1.0
3098699,148262,prior,3,0,12,14.0
279824,77623,prior,1,6,11,
1848771,155426,prior,26,5,15,5.0
2159892,186921,prior,24,2,20,23.0
2268294,48940,prior,2,4,7,8.0
3092974,169242,prior,13,2,16,5.0
1585380,169920,prior,8,2,21,4.0
790207,43649,prior,3,5,15,30.0
785844,138728,prior,1,6,9,
611338,97789,prior,11,0,14,17.0
2001355,133187,prior,8,4,20,1.0
758695,63736,train,5,1,17,30.0
1011263,85632,prior,14,6,12,26.0
2906232,19286,prior,9,1,7,11.0
989306,87428,prior,11,5,19,8.0
1767890,182235,prior,4,5,14,16.0
3142357,71559,prior,10,4,19,1.0
2367302,33712,prior,28,6,16,8.0
1725901,183137,prior,5,0,1,30.0
2881140,11020,prior,2,4,9,22.0
3094127,99661,prior,8,3,18,14.0
2178794,140273,prior,9,0,19,3.0
1798118,23089,prior,3,6,12,29.0
2919737,17990,prior,18,5,12,15.0
736085,169380,prior,23,4,14,30.0
2422247,29359,prior,15,1,17,6.0
153161,108471,prior,19,3,19,2.0
1601286,205666,prior,10,0,19,3.0
2140681,72951,prior,34,2,16,7.0
3070414,155919,prior,26,5,9,30.0
2430144,19899,prior,6,5,14,21.0
2801476,103148,prior,14,0,8,15.0
1826181,101002,prior,3,4,11,27.0
1301896,122160,prior,29,4,21,3.0
1289037,89286,prior,41,3,11,5.0
792083,100687,prior,22,3,14,5.0
1031434,129460,prior,7,3,18,18.0
3014619,121353,prior,42,5,14,1.0
548098,7013,prior,38,4,6,5.0
3402491,16274,prior,7,6,16,6.0
432980,201710,prior,57,2,7,7.0
1780734,146872,prior,6,5,10,3.0
111208,112044,prior,14,3,16,0.0
1145694,101949,prior,2,0,11,10.0
923599,80598,prior,17,3,16,3.0
2787301,203350,prior,6,0,15,8.0
127963,182753,prior,6,1,8,9.0
2336167,59400,prior,4,0,11,8.0
1593709,119899,prior,11,4,9,5.0
3254666,81631,prior,3,3,16,30.0
1330873,196118,prior,13,2,9,6.0
1196483,11678,prior,26,1,6,7.0
1211917,37810,prior,43,4,21,1.0
1503680,203924,prior,4,6,8,9.0
1225920,109084,prior,29,6,11,2.0
1139326,111910,prior,5,2,17,9.0
2145661,100642,prior,1,2,7,
843654,187886,prior,6,6,13,30.0
898155,189376,prior,45,0,7,14.0
3185015,65831,prior,2,3,14,30.0
314259,40639,prior,8,4,11,2.0
3365762,174816,prior,3,0,14,30.0
1375991,153893,prior,33,5,16,0.0
618770,62004,prior,9,1,7,13.0
1174609,83508,prior,33,5,12,3.0
2367953,174956,prior,2,6,16,30.0
2035118,146622,prior,3,6,14,7.0
355908,170007,prior,19,2,13,9.0
3284123,184056,test,5,1,17,3.0
2197013,117423,prior,12,3,11,7.0
1870127,181847,prior,4,4,15,30.0
871287,8748,prior,45,0,14,7.0
528707,201003,prior,16,6,12,6.0
585282,62303,prior,5,4,13,25.0
2192973,20046,prior,38,3,13,2.0
3032383,173321,prior,2,5,19,27.0
2383708,200711,prior,40,4,18,19.0
3256445,15161,prior,3,0,12,3.0
2238035,148994,prior,58,5,13,7.0
1764202,23280,prior,20,2,15,7.0
2344821,62697,prior,2,4,16,12.0
2363352,74863,prior,12,5,13,15.0
769888,90584,prior,45,3,8,1.0
67396,138292,prior,76,5,8,2.0
74574,159029,prior,11,6,17,9.0
2251332,128388,prior,25,0,10,4.0
1073622,55073,prior,97,3,8,0.0
430342,162038,prior,91,2,17,3.0
364068,14286,prior,3,6,14,6.0
1114397,42310,prior,12,6,9,8.0
2213517,202935,prior,3,4,13,30.0
2999000,125702,prior,2,1,17,4.0
3148335,162623,prior,18,3,20,6.0
2373408,119069,prior,3,3,20,10.0
2639311,118823,prior,29,4,9,8.0
2090581,100700,prior,17,1,21,11.0
819247,27462,prior,1,3,12,
2530686,69727,prior,2,3,18,17.0
2194451,97879,prior,4,1,15,21.0
3147748,9354,prior,3,6,10,30.0
927129,191386,prior,2,5,11,18.0
1774946,588,prior,12,0,7,30.0
31053,119949,prior,12,1,15,8.0
2492348,19253,prior,23,1,11,8.0
2087121,50690,prior,6,1,11,19.0
260303,188168,test,9,4,12,4.0
1573786,118771,prior,3,3,12,30.0
2697711,181068,train,5,5,19,18.0
679359,151274,prior,5,0,12,6.0
3407271,75806,prior,4,0,9,27.0
1766637,188042,prior,30,3,13,2.0
114123,38165,prior,5,0,14,12.0
1597896,39766,prior,36,1,23,2.0
1104929,67100,prior,9,2,14,24.0
1347330,95925,prior,10,0,10,2.0
1093154,115860,prior,9,4,8,4.0
1194521,97572,prior,11,4,16,10.0
897092,77373,prior,11,4,15,7.0
3341982,26650,prior,4,2,11,7.0
946724,116908,prior,3,0,17,20.0
2029184,162252,prior,2,2,17,10.0
335373,32267,prior,39,1,18,2.0
1907356,87041,prior,18,5,11,15.0
1606292,84493,prior,10,4,10,7.0
3263141,57856,prior,18,6,16,6.0
942371,79425,prior,41,3,14,11.0
3168101,205733,prior,34,4,16,17.0
2976365,159406,prior,56,3,10,2.0
3302300,165998,prior,62,3,8,5.0
3031646,6608,prior,6,2,12,4.0
1887106,68924,prior,34,1,14,1.0
487809,30376,prior,25,3,11,26.0
207578,176374,prior,10,6,16,4.0
391399,102619,prior,5,0,15,0.0
1743623,12715,prior,2,5,14,3.0
3385997,43664,prior,17,4,20,3.0
1859620,203786,prior,8,3,15,13.0
1288745,178632,prior,26,3,15,2.0
1775960,84233,prior,10,3,11,0.0
1638478,120506,prior,16,3,21,6.0
93519,179651,prior,15,6,19,6.0
3225059,148129,prior,12,4,10,7.0
609041,87180,prior,1,5,19,
1423087,69887,prior,17,3,17,2.0
523357,23951,prior,4,1,9,30.0
320106,137414,prior,36,0,11,14.0
812618,78319,prior,63,5,9,4.0
3214747,133981,prior,2,2,19,5.0
109953,140721,prior,22,0,9,4.0
1522674,51027,prior,4,4,10,3.0
834063,48684,prior,62,1,8,4.0
1869159,189371,prior,2,4,11,7.0
3028951,36741,prior,2,2,7,4.0
1589940,135944,prior,6,2,11,9.0
2944458,94640,prior,2,2,10,7.0
772886,108017,prior,10,3,13,12.0
2885620,154910,prior,10,4,10,25.0
842729,115698,prior,6,6,13,9.0
2087930,30178,prior,3,1,12,4.0
2040331,9106,prior,58,1,12,1.0
1257399,201836,prior,11,5,9,8.0
2013604,15154,prior,10,0,13,30.0
1910970,15968,prior,44,2,9,2.0
2671792,4386,prior,3,2,23,6.0
2873864,13798,prior,10,5,16,12.0
914955,61595,prior,7,3,14,4.0
3005885,31830,prior,1,0,15,
918403,139652,prior,57,6,18,4.0
1676750,170431,prior,13,6,23,7.0
2945280,29814,prior,8,2,0,19.0
1398364,163283,prior,31,6,13,4.0
1684875,21535,prior,27,2,12,4.0
2027289,144504,prior,6,5,15,30.0
930007,41258,prior,2,3,16,6.0
702527,133113,prior,4,6,10,6.0
1582072,44836,prior,31,5,11,3.0
95156,200029,prior,28,5,10,7.0
1280108,96795,prior,28,0,10,3.0
440263,191133,prior,39,6,12,6.0
520583,197800,prior,13,0,15,30.0
3360708,196075,prior,52,0,10,4.0
3104493,67677,prior,13,2,15,8.0
449027,105045,prior,3,0,13,6.0
117198,3644,prior,16,6,19,28.0
859446,139490,test,10,5,13,30.0
3076038,196466,prior,2,1,13,23.0
1829622,85348,prior,3,5,10,13.0
965328,38991,prior,25,3,15,4.0
1533520,140216,train,4,5,11,30.0
1644213,86460,prior,2,4,18,17.0
3415848,183633,prior,5,3,10,21.0
183399,104313,prior,2,3,3,4.0
1291180,173021,prior,26,0,18,19.0
2718895,129619,prior,9,6,13,3.0
261357,103040,prior,13,1,10,7.0
2101976,93530,prior,12,6,9,22.0
3293910,200194,prior,8,4,12,4.0
2046082,175682,prior,2,0,15,30.0
972838,122790,test,34,0,0,8.0
1667259,187513,prior,9,6,13,5.0
2798075,155717,test,6,4,18,8.0
2915232,196331,prior,38,1,14,1.0
1401911,38249,train,18,4,15,15.0
2614758,202593,prior,44,6,15,6.0
2931312,92636,prior,16,0,15,10.0
794919,85256,prior,17,4,13,10.0
2094443,123230,prior,7,1,15,10.0
3330302,1058,prior,8,5,1,0.0
2256685,158058,prior,82,1,12,1.0
1840014,20278,prior,34,1,6,7.0
2983865,190620,prior,2,3,16,4.0
1313275,106641,prior,3,6,9,21.0
2159934,121662,prior,22,0,12,8.0
916947,133889,prior,21,4,15,7.0
2291877,143103,prior,7,1,20,5.0
2044541,119244,prior,8,6,13,8.0
1470288,45993,prior,10,4,14,7.0
2281831,374,prior,13,2,13,19.0
2314943,88771,prior,69,5,10,5.0
2137599,159552,prior,25,2,16,11.0
2457460,177418,prior,42,1,9,1.0
3279244,50350,prior,4,4,11,6.0
2813432,49346,prior,3,6,17,6.0
1304680,59170,prior,4,1,11,7.0
