Overall_rank,Country_region,Score,GDP_per_capita,Social_support,Healthy_life_expectancy,Freedom_life_choices,Generosity,Perceptions_corruption
49,Belize,5.956,0.807,1.101,0.474,0.593,0.183,0.08900000000000001
50,Lithuania,5.952000000000001,1.197,1.527,0.716,0.35,0.026000000000000002,0.006
51,Slovenia,5.9479999999999995,1.219,1.506,0.856,0.633,0.16,
52,Romania,5.945,1.1159999999999999,1.219,0.726,0.528,0.08800000000000001,0.001
53,Latvia,5.933,1.148,1.454,0.6709999999999999,0.363,0.092,
54,Japan,5.915,1.294,1.462,0.988,0.5529999999999999,0.079,0.15
55,Mauritius,5.891,1.09,1.3869999999999998,0.684,0.584,0.245,
56,Jamaica,5.89,0.8190000000000001,1.493,0.693,0.575,0.096,0.031
57,South Korea,5.875,1.266,1.204,0.955,0.244,0.175,
58,Northern Cyprus,5.835,1.229,1.2109999999999999,0.909,0.495,0.179,
59,Russia,5.81,1.151,1.479,0.599,0.39899999999999997,0.065,0.025
60,Kazakhstan,5.79,1.143,1.516,0.631,0.45399999999999996,0.14800000000000002,0.121
61,Cyprus,5.7620000000000005,1.229,1.1909999999999998,0.909,0.423,0.20199999999999999,
62,Bolivia,5.752000000000001,0.7509999999999999,1.2229999999999999,0.508,0.606,0.141,
63,Estonia,5.739,1.2,1.5319999999999998,0.737,0.5529999999999999,0.086,
64,Paraguay,5.681,0.835,1.5219999999999998,0.615,0.541,0.162,
65,Peru,5.662999999999999,0.934,1.249,0.674,0.53,0.092,
66,Kosovo,5.662000000000001,0.855,1.23,0.578,0.44799999999999995,0.27399999999999997,
67,Moldova,5.64,0.657,1.301,0.62,0.23199999999999998,0.171,0.0
68,Turkmenistan,5.636,1.016,1.5330000000000001,0.517,0.41700000000000004,0.19899999999999998,
69,Hungary,5.62,1.171,1.401,0.732,0.259,0.061,0.022000000000000002
70,Libya,5.566,0.985,1.35,0.5529999999999999,0.496,0.11599999999999999,0.14800000000000002
71,Philippines,5.524,0.775,1.3119999999999998,0.513,0.643,0.12,0.105
72,Honduras,5.504,0.62,1.205,0.622,0.45899999999999996,0.19699999999999998,0.07400000000000001
73,Belarus,5.483,1.0390000000000001,1.4980000000000002,0.7,0.307,0.10099999999999999,0.154
74,Turkey,5.483,1.148,1.38,0.6859999999999999,0.324,0.106,
75,Pakistan,5.472,0.652,0.81,0.424,0.33399999999999996,0.21600000000000003,
76,Hong Kong,5.43,1.405,1.29,1.03,0.524,0.24600000000000002,
77,Portugal,5.41,1.188,1.429,0.884,0.562,0.055,
78,Serbia,5.398,0.975,1.369,0.685,0.28800000000000003,0.134,
79,Greece,5.358,1.1540000000000001,1.202,0.879,0.131,0.0,
80,Lebanon,5.358,0.965,1.179,0.785,0.503,0.214,
81,Montenegro,5.347,1.0170000000000001,1.2790000000000001,0.7290000000000001,0.259,0.111,
82,Croatia,5.321000000000001,1.115,1.161,0.737,0.38,0.12,0.039
83,Dominican Republic,5.3020000000000005,0.982,1.4409999999999998,0.614,0.578,0.12,
84,Algeria,5.295,0.9790000000000001,1.1540000000000001,0.687,0.077,0.055,0.135
85,Morocco,5.254,0.779,0.797,0.669,0.46,0.026000000000000002,
86,China,5.246,0.9890000000000001,1.1420000000000001,0.799,0.597,0.028999999999999998,
87,Azerbaijan,5.2010000000000005,1.024,1.161,0.603,0.43,0.031,
88,Tajikistan,5.199,0.474,1.166,0.598,0.292,0.187,
89,Macedonia,5.185,0.9590000000000001,1.239,0.691,0.39399999999999996,0.17300000000000001,
90,Jordan,5.1610000000000005,0.8220000000000001,1.265,0.645,0.46799999999999997,0.13,
91,Nigeria,5.155,0.6890000000000001,1.172,0.048,0.462,0.201,0.032
92,Kyrgyzstan,5.131,0.53,1.416,0.594,0.54,0.281,
93,Bosnia and Herzegovina,5.129,0.915,1.078,0.758,0.28,0.21600000000000003,
94,Mongolia,5.125,0.914,1.517,0.575,0.395,0.253,
95,Vietnam,5.103,0.715,1.365,0.7020000000000001,0.618,0.177,
96,Indonesia,5.093,0.899,1.215,0.522,0.5379999999999999,0.484,0.018000000000000002
97,Bhutan,5.082,0.7959999999999999,1.335,0.527,0.541,0.364,
98,Somalia,4.982,0.0,0.7120000000000001,0.115,0.674,0.23800000000000002,0.282
99,Cameroon,4.975,0.535,0.8909999999999999,0.182,0.45399999999999996,0.183,
100,Bulgaria,4.933,1.054,1.515,0.7120000000000001,0.359,0.064,
101,Nepal,4.88,0.425,1.228,0.539,0.526,0.302,0.078
102,Venezuela,4.806,0.996,1.469,0.657,0.133,0.055999999999999994,
103,Gabon,4.758,1.036,1.1640000000000001,0.40399999999999997,0.35600000000000004,0.032,
104,Palestinian Territories,4.743,0.642,1.217,0.602,0.266,0.086,
105,South Africa,4.724,0.94,1.41,0.33,0.516,0.10300000000000001,
106,Iran,4.707,1.0590000000000002,0.7709999999999999,0.691,0.45899999999999996,0.282,0.129
107,Ivory Coast,4.671,0.541,0.872,0.08,0.467,0.146,
108,Ghana,4.657,0.5920000000000001,0.8959999999999999,0.337,0.499,0.212,
109,Senegal,4.631,0.429,1.117,0.433,0.406,0.138,
110,Laos,4.623,0.72,1.034,0.441,0.626,0.23,
111,Tunisia,4.592,0.9,0.9059999999999999,0.69,0.271,0.04,
112,Albania,4.586,0.9159999999999999,0.8170000000000001,0.79,0.419,0.149,
113,Sierra Leone,4.571000000000001,0.256,0.813,0.0,0.355,0.23800000000000002,
114,Congo (Brazzaville),4.559,0.682,0.8109999999999999,0.34299999999999997,0.514,0.091,
115,Bangladesh,4.5,0.532,0.85,0.579,0.58,0.153,
116,Sri Lanka,4.471,0.9179999999999999,1.314,0.672,0.585,0.307,
117,Iraq,4.456,1.01,0.971,0.536,0.304,0.14800000000000002,
118,Mali,4.447,0.37,1.2329999999999999,0.152,0.36700000000000005,0.139,
119,Namibia,4.441,0.8740000000000001,1.281,0.365,0.519,0.051,0.064
120,Cambodia,4.433,0.5489999999999999,1.088,0.457,0.696,0.256,
121,Burkina Faso,4.4239999999999995,0.314,1.097,0.254,0.312,0.175,
122,Egypt,4.419,0.885,1.025,0.5529999999999999,0.312,0.092,
123,Mozambique,4.417,0.198,0.902,0.17300000000000001,0.531,0.20600000000000002,
124,Kenya,4.41,0.493,1.048,0.45399999999999996,0.504,0.35200000000000004,0.055
125,Zambia,4.377,0.562,1.047,0.295,0.503,0.221,
126,Mauritania,4.356,0.557,1.245,0.292,0.129,0.134,
127,Ethiopia,4.35,0.308,0.95,0.391,0.452,0.22,
128,Georgia,4.34,0.853,0.5920000000000001,0.643,0.375,0.038,
129,Armenia,4.321000000000001,0.816,0.99,0.6659999999999999,0.26,0.077,
130,Myanmar,4.308,0.682,1.1740000000000002,0.429,0.58,0.598,
131,Chad,4.301,0.358,0.907,0.053,0.18899999999999997,0.18100000000000002,0.06
132,Congo (Kinshasa),4.245,0.069,1.136,0.204,0.312,0.19699999999999998,
133,India,4.19,0.721,0.747,0.485,0.539,0.172,
134,Niger,4.166,0.131,0.867,0.221,0.39,0.175,
135,Uganda,4.1610000000000005,0.322,1.09,0.237,0.45,0.259,0.061
136,Benin,4.141,0.37799999999999995,0.37200000000000005,0.24,0.44,0.163,
137,Sudan,4.138999999999999,0.605,1.24,0.312,0.016,0.134,
138,Ukraine,4.103,0.7929999999999999,1.413,0.609,0.163,0.187,
139,Togo,3.9989999999999997,0.259,0.474,0.253,0.434,0.158,
140,Guinea,3.964,0.344,0.792,0.21100000000000002,0.39399999999999996,0.185,
141,Lesotho,3.8080000000000003,0.47200000000000003,1.215,0.079,0.423,0.11599999999999999,
142,Angola,3.795,0.73,1.125,0.26899999999999996,0.0,0.079,0.061
143,Madagascar,3.7739999999999996,0.262,0.9079999999999999,0.402,0.221,0.155,0.049
144,Zimbabwe,3.6919999999999997,0.35700000000000004,1.094,0.248,0.406,0.132,
145,Afghanistan,3.6319999999999997,0.332,0.537,0.255,0.085,0.191,0.036000000000000004
146,Botswana,3.59,1.0170000000000001,1.1740000000000002,0.41700000000000004,0.557,0.042,0.092
147,Malawi,3.5869999999999997,0.18600000000000003,0.541,0.306,0.531,0.21,
148,Haiti,3.582,0.315,0.7140000000000001,0.289,0.025,0.392,
149,Liberia,3.495,0.076,0.858,0.267,0.419,0.20600000000000002,
150,Syria,3.4619999999999997,0.6890000000000001,0.382,0.539,0.08800000000000001,0.376,
151,Rwanda,3.408,0.332,0.8959999999999999,0.4,0.636,0.2,
152,Yemen,3.355,0.442,1.073,0.34299999999999997,0.244,0.083,
153,Tanzania,3.303,0.455,0.991,0.381,0.48100000000000004,0.27,
154,South Sudan,3.2539999999999996,0.337,0.608,0.177,0.11199999999999999,0.22399999999999998,0.106
155,Central African Republic,3.083,0.024,0.0,0.01,0.305,0.218,
156,Burundi,2.905,0.091,0.627,0.145,0.065,0.149,
1,Finland,7.769,1.34,1.587,0.986,0.596,0.153,0.39299999999999996
2,Denmark,7.6,1.383,1.5730000000000002,0.996,0.5920000000000001,0.252,
3,Norway,7.553999999999999,1.4880000000000002,1.5819999999999999,1.028,0.603,0.271,
4,Iceland,7.494,1.38,1.624,1.026,0.591,0.354,0.11800000000000001
5,Netherlands,7.4879999999999995,1.396,1.5219999999999998,0.9990000000000001,0.557,0.322,0.298
6,Switzerland,7.48,1.452,1.526,1.052,0.5720000000000001,0.263,0.34299999999999997
7,Sweden,7.343,1.3869999999999998,1.4869999999999999,1.0090000000000001,0.574,0.267,
8,New Zealand,7.307,1.3030000000000002,1.557,1.026,0.585,0.33,
9,Canada,7.278,1.365,1.505,1.0390000000000001,0.584,0.285,
10,Austria,7.246,1.376,1.475,1.016,0.532,0.244,
11,Australia,7.228,1.3719999999999999,1.548,1.036,0.557,0.332,
12,Costa Rica,7.167000000000001,1.034,1.4409999999999998,0.963,0.5579999999999999,0.14400000000000002,0.09300000000000001
13,Israel,7.138999999999999,1.276,1.455,1.0290000000000001,0.371,0.261,
14,Luxembourg,7.09,1.609,1.479,1.012,0.526,0.19399999999999998,0.316
15,United Kingdom,7.053999999999999,1.3330000000000002,1.538,0.996,0.45,0.348,0.278
16,Ireland,7.021,1.499,1.5530000000000002,0.9990000000000001,0.516,0.298,
17,Germany,6.985,1.3730000000000002,1.454,0.987,0.495,0.261,
18,Belgium,6.922999999999999,1.3559999999999999,1.504,0.986,0.473,0.16,
19,United States,6.892,1.433,1.4569999999999999,0.8740000000000001,0.45399999999999996,0.28,
20,Czech Republic,6.852,1.2690000000000001,1.4869999999999999,0.92,0.457,0.046,
21,United Arab Emirates,6.825,1.5030000000000001,1.31,0.825,0.598,0.262,
22,Malta,6.726,1.3,1.52,0.9990000000000001,0.564,0.375,
23,Mexico,6.595,1.07,1.3230000000000002,0.861,0.433,0.07400000000000001,0.073
24,France,6.5920000000000005,1.324,1.472,1.045,0.436,0.111,
25,Taiwan,6.446000000000001,1.368,1.43,0.914,0.35100000000000003,0.242,0.09699999999999999
26,Chile,6.444,1.159,1.369,0.92,0.35700000000000004,0.187,0.055999999999999994
27,Guatemala,6.436,0.8,1.2690000000000001,0.746,0.535,0.175,
28,Saudi Arabia,6.375,1.403,1.357,0.795,0.439,0.08,
29,Qatar,6.374,1.6840000000000002,1.3130000000000002,0.871,0.555,0.22,
30,Spain,6.354,1.286,1.484,1.062,0.36200000000000004,0.153,
31,Panama,6.321000000000001,1.149,1.442,0.91,0.516,0.109,
32,Brazil,6.3,1.004,1.439,0.802,0.39,0.099,
33,Uruguay,6.292999999999999,1.124,1.465,0.8909999999999999,0.523,0.127,0.15
34,Singapore,6.2620000000000005,1.5719999999999998,1.463,1.141,0.556,0.271,
35,El Salvador,6.252999999999999,0.794,1.242,0.789,0.43,0.09300000000000001,
36,Italy,6.223,1.294,1.4880000000000002,1.0390000000000001,0.231,0.158,
37,Bahrain,6.199,1.3619999999999999,1.368,0.871,0.536,0.255,
38,Slovakia,6.1979999999999995,1.246,1.504,0.8809999999999999,0.33399999999999996,0.121,0.013999999999999999
39,Trinidad & Tobago,6.192,1.2309999999999999,1.4769999999999999,0.713,0.489,0.185,
40,Poland,6.182,1.206,1.4380000000000002,0.884,0.483,0.11699999999999999,
41,Uzbekistan,6.1739999999999995,0.745,1.5290000000000001,0.7559999999999999,0.631,0.322,
42,Lithuania,6.149,1.238,1.515,0.818,0.29100000000000004,0.043,
43,Colombia,6.125,0.985,1.41,0.841,0.47,0.099,0.034
44,Slovenia,6.117999999999999,1.258,1.5230000000000001,0.953,0.564,0.14400000000000002,
45,Nicaragua,6.105,0.6940000000000001,1.325,0.835,0.435,0.2,
46,Kosovo,6.1,0.882,1.232,0.758,0.489,0.262,
47,Argentina,6.086,1.092,1.432,0.8809999999999999,0.47100000000000003,0.066,
48,Romania,6.07,1.162,1.232,0.825,0.462,0.083,0.005
49,Cyprus,6.046,1.263,1.2229999999999999,1.042,0.406,0.19,0.040999999999999995
50,Ecuador,6.028,0.912,1.3119999999999998,0.868,0.498,0.126,0.087
51,Kuwait,6.021,1.5,1.319,0.8079999999999999,0.493,0.142,
52,Thailand,6.007999999999999,1.05,1.409,0.828,0.557,0.359,0.027999999999999997
53,Latvia,5.94,1.187,1.465,0.812,0.264,0.075,
54,South Korea,5.895,1.301,1.219,1.036,0.159,0.175,0.055999999999999994
55,Estonia,5.893,1.237,1.528,0.8740000000000001,0.495,0.10300000000000001,
56,Jamaica,5.89,0.831,1.4780000000000002,0.831,0.49,0.107,0.027999999999999997
57,Mauritius,5.888,1.12,1.402,0.7979999999999999,0.498,0.215,
58,Japan,5.886,1.327,1.419,1.088,0.445,0.069,
59,Honduras,5.86,0.642,1.236,0.828,0.507,0.24600000000000002,0.078
60,Kazakhstan,5.809,1.173,1.508,0.7290000000000001,0.41,0.146,0.096
61,Bolivia,5.779,0.7759999999999999,1.209,0.706,0.511,0.13699999999999998,
62,Hungary,5.757999999999999,1.2009999999999998,1.41,0.828,0.19899999999999998,0.081,
63,Paraguay,5.742999999999999,0.855,1.475,0.777,0.514,0.184,
64,Northern Cyprus,5.718,1.263,1.252,1.042,0.41700000000000004,0.191,
65,Peru,5.697,0.96,1.274,0.8540000000000001,0.455,0.083,
66,Portugal,5.693,1.2209999999999999,1.431,0.9990000000000001,0.508,0.047,
67,Pakistan,5.653,0.677,0.8859999999999999,0.535,0.313,0.22,0.098
68,Russia,5.648,1.183,1.452,0.726,0.33399999999999996,0.08199999999999999,
69,Philippines,5.631,0.807,1.2930000000000001,0.657,0.5579999999999999,0.11699999999999999,0.107
70,Serbia,5.603,1.004,1.383,0.8540000000000001,0.282,0.13699999999999998,0.039
71,Moldova,5.529,0.685,1.328,0.7390000000000001,0.245,0.18100000000000002,0.0
72,Libya,5.525,1.044,1.3030000000000002,0.6729999999999999,0.41600000000000004,0.133,0.152
73,Montenegro,5.523,1.051,1.361,0.871,0.19699999999999998,0.142,0.08
74,Tajikistan,5.4670000000000005,0.493,1.0979999999999999,0.718,0.389,0.23,
75,Croatia,5.432,1.155,1.266,0.914,0.29600000000000004,0.11900000000000001,
76,Hong Kong,5.43,1.4380000000000002,1.2770000000000001,1.122,0.44,0.258,
77,Dominican Republic,5.425,1.015,1.401,0.779,0.49700000000000005,0.113,
78,Bosnia and Herzegovina,5.386,0.945,1.212,0.845,0.212,0.263,
79,Turkey,5.372999999999999,1.183,1.36,0.8079999999999999,0.195,0.083,
80,Malaysia,5.3389999999999995,1.2209999999999999,1.171,0.828,0.508,0.26,
81,Belarus,5.3229999999999995,1.067,1.465,0.789,0.235,0.094,
82,Greece,5.287000000000001,1.181,1.156,0.9990000000000001,0.067,0.0,0.034
83,Mongolia,5.285,0.948,1.531,0.667,0.317,0.235,
84,North Macedonia,5.274,0.983,1.294,0.838,0.345,0.185,0.034
85,Nigeria,5.265,0.696,1.111,0.245,0.426,0.215,
86,Kyrgyzstan,5.261,0.551,1.4380000000000002,0.723,0.508,0.3,
87,Turkmenistan,5.247000000000001,1.052,1.538,0.657,0.39399999999999996,0.244,
88,Algeria,5.211,1.002,1.16,0.785,0.086,0.073,
89,Morocco,5.207999999999999,0.8009999999999999,0.782,0.782,0.418,0.036000000000000004,
90,Azerbaijan,5.207999999999999,1.043,1.147,0.769,0.35100000000000003,0.035,
91,Lebanon,5.197,0.987,1.224,0.815,0.21600000000000003,0.166,0.027000000000000003
92,Indonesia,5.192,0.9309999999999999,1.203,0.66,0.491,0.498,
93,China,5.191,1.0290000000000001,1.125,0.893,0.521,0.057999999999999996,
94,Vietnam,5.175,0.741,1.3459999999999999,0.851,0.5429999999999999,0.147,
95,Bhutan,5.082,0.813,1.321,0.604,0.457,0.37,
96,Cameroon,5.044,0.5489999999999999,0.91,0.331,0.381,0.187,0.037000000000000005
97,Bulgaria,5.011,1.092,1.5130000000000001,0.815,0.311,0.081,
98,Ghana,4.996,0.611,0.868,0.486,0.381,0.245,0.04
99,Ivory Coast,4.944,0.569,0.8079999999999999,0.23199999999999998,0.35200000000000004,0.154,
100,Nepal,4.913,0.446,1.226,0.677,0.439,0.285,
101,Jordan,4.906000000000001,0.8370000000000001,1.225,0.815,0.38299999999999995,0.11,0.13
102,Benin,4.883,0.39299999999999996,0.43700000000000006,0.397,0.349,0.175,
103,Congo (Brazzaville),4.812,0.6729999999999999,0.799,0.508,0.37200000000000005,0.105,
104,Gabon,4.7989999999999995,1.057,1.183,0.5710000000000001,0.295,0.043,
105,Laos,4.796,0.764,1.03,0.551,0.547,0.266,
106,South Africa,4.7219999999999995,0.96,1.351,0.469,0.389,0.13,0.055
107,Albania,4.718999999999999,0.9470000000000001,0.848,0.8740000000000001,0.38299999999999995,0.17800000000000002,
108,Venezuela,4.707,0.96,1.4269999999999998,0.805,0.154,0.064,
109,Cambodia,4.7,0.574,1.122,0.637,0.609,0.23199999999999998,
110,Palestinian Territories,4.696000000000001,0.657,1.247,0.672,0.225,0.10300000000000001,
111,Senegal,4.681,0.45,1.1340000000000001,0.5710000000000001,0.292,0.153,
112,Somalia,4.668,0.0,0.698,0.268,0.5589999999999999,0.243,
113,Namibia,4.638999999999999,0.879,1.3130000000000002,0.47700000000000004,0.401,0.07,
114,Niger,4.628,0.138,0.774,0.366,0.318,0.188,
115,Burkina Faso,4.587,0.331,1.056,0.38,0.255,0.177,
116,Armenia,4.559,0.85,1.055,0.815,0.28300000000000003,0.095,
117,Iran,4.548,1.1,0.8420000000000001,0.785,0.305,0.27,
118,Guinea,4.534,0.38,0.8290000000000001,0.375,0.332,0.207,
119,Georgia,4.519,0.8859999999999999,0.6659999999999999,0.752,0.34600000000000003,0.043,0.16399999999999998
120,Gambia,4.516,0.308,0.9390000000000001,0.428,0.382,0.26899999999999996,
121,Kenya,4.5089999999999995,0.512,0.983,0.581,0.431,0.37200000000000005,
122,Mauritania,4.49,0.57,1.167,0.489,0.066,0.106,
123,Mozambique,4.466,0.204,0.986,0.39,0.494,0.19699999999999998,
124,Tunisia,4.461,0.9209999999999999,1.0,0.815,0.16699999999999998,0.059000000000000004,0.055
125,Bangladesh,4.456,0.562,0.9279999999999999,0.723,0.527,0.166,
126,Iraq,4.437,1.043,0.98,0.574,0.24100000000000002,0.14800000000000002,
127,Congo (Kinshasa),4.418,0.094,1.125,0.35700000000000004,0.26899999999999996,0.212,
128,Mali,4.39,0.385,1.105,0.308,0.327,0.153,
129,Sierra Leone,4.374,0.268,0.841,0.242,0.309,0.252,
130,Sri Lanka,4.3660000000000005,0.9490000000000001,1.265,0.831,0.47,0.244,
131,Myanmar,4.36,0.71,1.181,0.555,0.525,0.5660000000000001,0.172
132,Chad,4.35,0.35,0.7659999999999999,0.192,0.174,0.198,
133,Ukraine,4.332,0.82,1.39,0.7390000000000001,0.17800000000000002,0.187,
134,Ethiopia,4.2860000000000005,0.336,1.033,0.532,0.344,0.209,
135,Swaziland,4.212,0.8109999999999999,1.149,0.0,0.313,0.07400000000000001,0.135
136,Uganda,4.189,0.332,1.069,0.44299999999999995,0.35600000000000004,0.252,
137,Egypt,4.166,0.9129999999999999,1.0390000000000001,0.644,0.24100000000000002,0.076,
138,Zambia,4.107,0.578,1.058,0.426,0.431,0.247,
139,Togo,4.085,0.275,0.5720000000000001,0.41,0.293,0.177,
140,India,4.015,0.755,0.765,0.588,0.498,0.2,
141,Liberia,3.975,0.073,0.922,0.44299999999999995,0.37,0.233,
142,Comoros,3.9730000000000003,0.27399999999999997,0.757,0.505,0.142,0.275,0.078
143,Madagascar,3.9330000000000003,0.27399999999999997,0.9159999999999999,0.555,0.14800000000000002,0.16899999999999998,0.040999999999999995
144,Lesotho,3.802,0.489,1.169,0.168,0.359,0.107,
145,Burundi,3.775,0.046,0.447,0.38,0.22,0.17600000000000002,0.18
146,Zimbabwe,3.6630000000000003,0.366,1.114,0.433,0.361,0.151,0.08900000000000001
147,Haiti,3.597,0.32299999999999995,0.688,0.449,0.026000000000000002,0.419,
148,Botswana,3.488,1.041,1.145,0.5379999999999999,0.455,0.025,
149,Syria,3.4619999999999997,0.619,0.37799999999999995,0.44,0.013000000000000001,0.331,
150,Malawi,3.41,0.191,0.56,0.495,0.44299999999999995,0.218,
151,Yemen,3.38,0.287,1.163,0.46299999999999997,0.14300000000000002,0.10800000000000001,
152,Rwanda,3.3339999999999996,0.359,0.711,0.614,0.555,0.217,
153,Tanzania,3.2310000000000003,0.47600000000000003,0.885,0.499,0.41700000000000004,0.276,
154,Afghanistan,3.2030000000000003,0.35,0.517,0.361,0.0,0.158,0.025
155,Central African Republic,3.083,0.026000000000000002,0.0,0.105,0.225,0.235,
156,South Sudan,2.853,0.306,0.575,0.295,0.01,0.20199999999999999,
